"Order ID,Order Date,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit"
"ORD-2024-10043,2024-04-22,WEST,Furniture,Chairs,Conference Table 8ft,1862.5,10,0.5,-1047.37"
"ORD-2024-10025,03/03/2024,West ,Office Supplies ,Pens & Art,Desktop Organizer Box,342.65,10,0.3,-46.75"
"ORD-2025-10180,03-31-2025,East,FURNITURE,Tables,Lounge Sofa Seat,$995.97,4,0.2,-165.36"
"ORD-2025-10243,09-01-2025,West,OFFICE SUPPLIES,Appliances,Desktop Organizer Box,79.52,1,0.4,-21.87"
"ORD-2025-10298,12-28-2025,South,Furniture,Bookcases,Lounge Sofa Seat,322.18,7,0.5,-179.36"
"ORD-2025-10197,2025-04-29,WEST,Office Supplies,Storage,Stapler Executive Pro,1148.96,8,0.0,268.45"
"ORD-2025-10227,07-17-2025,West ,OFFICE SUPPLIES,Binders,File Folders 100-Pack,160.38,6,0.0,40.12"
"ORD-2024-10008,2024-01-15,west,office supplies,Appliances,Stapler Executive Pro,183.78,2,0.0,47.13"
"ORD-2025-10287,2025-11-30,west,Technology ,Copiers,Laser Copier 3000,5039.2,10,0.5,-1568.52"
"ORD-2024-10078,19/07/2024,SOUTH,Office Supplies,Pens & Art,Stapler Executive Pro,$458.00,8,0.5,-195.99"
"ORD-2024-10115,03/10/2024,EAST,Furniture,Tables,Executive Leather Chair,$51.84,1,0.5,-29.2"
"ORD-2025-10240,2025-08-23,EAST,Office Supplies ,Pens & Art,Gel Pens 12-Pack,206.22,5,0.4,-56.47"
"ORD-2025-10146,11/01/2025,South ,OFFICE SUPPLIES,Appliances,File Folders 100-Pack,$420.72,8,0.5,-179.07"
"ORD-2024-10085,02/08/2024,WEST,Furniture,Furnishings,Lounge Sofa Seat,529.53,6,0.15,-38.32"
"ORD-2025-10182,04-03-2025,west,TECHNOLOGY,Machines,Wireless Headset Pro,10573.8,10,0.0,3827.96"
"ORD-2025-10231,19/07/2025,WEST,Office Supplies,Appliances,Whiteboard Markers 8-Pack,$489.92,10,0.05,86.14"
"ORD-2024-10014,02-02-2024,EAST,OFFICE SUPPLIES,Pens & Art,Whiteboard Markers 8-Pack,815.63,8,0.05,141.18"
"ORD-2025-10199,05-03-2025,South,Technology,Copiers,Wireless Headset Pro,4069.45,7,0.0,1622.64"
"ORD-2025-10196,2025-04-21,West,technology,Machines,Business Router Max,""$1,173.58"",2,0.2,125.66"
"ORD-2025-10211,2025-05-24,central,Technology,Copiers,Dual Screen Monitor,4061.81,5,0.15,"
"ORD-2025-10225,07-15-2025,east,TECHNOLOGY,Phones,Business Router Max,5722.65,9,0.0,2163.1"
"ORD-2025-10159,2025-02-01,west,Technology,Accessories,Dual Screen Monitor,2378.28,5,0.4,-403.8"
"ORD-2024-10127,11-21-2024,South ,OFFICE SUPPLIES,Storage,Desktop Organizer Box,45.54,3,0.15,2.34"
"ORD-2024-10110,2024-09-24,West,office supplies,Storage,Whiteboard Markers 8-Pack,1076.69,9,0.2,-27.92"
"ORD-2025-10248,11/09/2025,EAST,office supplies,Storage,Copy Paper 500 Sheets,583.17,6,0.05,97.97"
"ORD-2025-10235,07-27-2025,west,office supplies,Storage,Office Microwave,119.33,4,0.2,-0.25"
"ORD-2025-10203,2025-05-11,east,Office Supplies,Storage,Heavy Duty Binder,119.4,5,0.2,-3.1"
"ORD-2024-10079,07-19-2024,South,Office Supplies ,Appliances,File Folders 100-Pack,521.71,8,0.4,-156.32"
"ORD-2025-10148,14/01/2025,East,Furniture,Tables,Filing Cabinet 3-Drawer,""$1,410.15"",7,0.0,158.96"
"ORD-2024-10060,05-27-2024,west,Office Supplies ,Pens & Art,Gel Pens 12-Pack,$255.62,8,0.2,-7.1"
"ORD-2024-10119,20/10/2024,WEST,Technology,Phones,Laser Copier 3000,3258.22,10,0.15,524.27"
"ORD-2024-10007,01-15-2024,west,FURNITURE,Furnishings,Conference Table 8ft,5127.71,7,0.0,626.0"
",,,,,,,,,"
"ORD-2025-10183,04/04/2025,west,Office Supplies ,Storage,Gel Pens 12-Pack,1336.14,10,0.1,130.6"
"ORD-2024-10031,2024-03-28,East,Technology,Machines,Business Router Max,$489.90,2,0.3,-15.1"
"ORD-2024-10023,02-23-2024,Central,furniture,Bookcases,Executive Leather Chair,818.08,4,0.0,84.61"
"ORD-2025-10263,2025-10-09,West ,Office Supplies,Binders,Stapler Executive Pro,$210.29,6,0.3,-29.32"
"ORD-2024-10057,23/05/2024,West ,office supplies,Appliances,Whiteboard Markers 8-Pack,395.28,3,0.1,51.22"
"ORD-2025-10149,2025-01-19,central,office supplies,Pens & Art,Whiteboard Markers 8-Pack,94.45,3,0.4,-25.63"
"ORD-2024-10141,14/12/2024,East,Office Supplies,Binders,File Folders 100-Pack,205.52,3,0.4,-56.04"
"ORD-2025-10209,05-23-2025,WEST,Furniture,Chairs,Standing Desk Frame,""$1,138.32"",5,0.4,-476.87"
"ORD-2025-10278,11-12-2025,SOUTH,Office Supplies ,Appliances,Office Microwave,307.94,3,0.05,59.82"
"ORD-2025-10204,05-13-2025,EAST,Furniture ,Tables,Wooden Bookcase 5-Shelf,""$2,621.43"",7,0.0,277.02"
"ORD-2025-10145,2025-01-08,South,Office Supplies,Appliances,Office Microwave,426.11,5,0.15,25.99"
"ORD-2025-10168,2025-02-17,WEST,office supplies,Pens & Art,Desktop Organizer Box,288.79,9,0.2,-5.42"
"ORD-2024-10091,12/08/2024,WEST,Technology ,Machines,Mechanical Keyboard,10266.56,8,0.0,4003.56"
"ORD-2025-10224,14/07/2025,SOUTH,furniture,Furnishings,Lounge Sofa Seat,507.76,6,0.15,-50.49"
"ORD-2024-10067,2024-06-09,WEST,Office Supplies,Appliances,Gel Pens 12-Pack,100.13,2,0.2,-1.51"
"ORD-2024-10117,2024-10-09,East ,OFFICE SUPPLIES,Pens & Art,Stapler Executive Pro,25.74,1,0.15,1.68"
"ORD-2025-10173,02-25-2025,South,Office Supplies,Storage,Whiteboard Markers 8-Pack,602.82,6,0.0,154.92"
"ORD-2025-10251,2025-09-16,SOUTH,Furniture,Furnishings,Conference Table 8ft,1644.27,4,0.15,-160.52"
"ORD-2024-10020,2024-02-17,East ,OFFICE SUPPLIES,Storage,Desktop Organizer Box,111.93,2,0.15,6.85"
",,,,,,,,,"
"ORD-2025-10147,01-13-2025,South,Technology ,Copiers,Business Router Max,3391.79,6,0.1,896.22"
"ORD-2024-10080,07-20-2024,South,Office Supplies,Paper,Office Microwave,508.9,9,,-145.0"
"ORD-2025-10299,2025-12-30,west,Technology,Accessories,Dual Screen Monitor,953.14,1,0.0,353.86"
"ORD-2025-10288,2025-12-01,west,Furniture ,Tables,Wooden Bookcase 5-Shelf,1690.24,10,0.2,-230.38"
"ORD-2024-10073,06/07/2024,East,Technology ,Accessories,Mechanical Keyboard,1466.31,4,0.05,430.33"
"ORD-2024-10016,2024-02-05,EAST,Technology ,Accessories,HD Web Camera,245.45,1,0.0,89.86"
"ORD-2024-10011,01-22-2024,west,office supplies,Binders,Desktop Organizer Box,326.57,4,0.05,59.11"
"ORD-2025-10274,11-03-2025,CENTRAL,Furniture,Tables,Conference Table 8ft,$168.25,3,0.4,-70.55"
"ORD-2025-10239,08-15-2025,central,technology,Phones,Business Router Max,""$1,278.02"",4,0.4,-198.83"
"ORD-2024-10098,21/08/2024,West,TECHNOLOGY,Copiers,Wireless Headset Pro,12325.5,10,0.0,4608.36"
"ORD-2024-10069,06-15-2024,west,FURNITURE,Bookcases,Wooden Bookcase 5-Shelf,1494.25,7,0.05,85.35"
"ORD-2025-10241,08-30-2025,west,Office Supplies,Paper,Stapler Executive Pro,$634.62,10,0.4,-185.01"
"ORD-2024-10038,04-12-2024,east,Office Supplies ,Pens & Art,Office Microwave,305.26,9,0.4,-92.74"
"ORD-2024-10017,2024-02-06,South,Technology,Accessories,Business Router Max,3803.53,7,0.3,-80.5"
"ORD-2024-10056,05-18-2024,South ,office supplies,Binders,Stapler Executive Pro,$132.44,4,0.0,"
"ORD-2025-10155,22/01/2025,EAST,technology,Machines,Wireless Headset Pro,1138.07,2,0.4,-197.28"
"ORD-2025-10279,11-14-2025,West ,technology,Accessories,Wireless Headset Pro,3997.32,3,0.1,1025.77"
"ORD-2024-10068,06-10-2024,West ,furniture,Chairs,Executive Leather Chair,""$2,405.93"",7,0.2,-370.28"
"ORD-2024-10112,27/09/2024,West,OFFICE SUPPLIES,Storage,Copy Paper 500 Sheets,309.56,3,0.1,32.09"
"ORD-2024-10070,06-19-2024,WEST,Technology ,Copiers,Business Router Max,770.67,1,0.15,130.23"
"ORD-2024-10032,2024-04-01,west,technology,Machines,HD Web Camera,1321.29,1,0.0,478.87"
"ORD-2025-10184,05/04/2025,east,Office Supplies,Appliances,Gel Pens 12-Pack,238.4,4,0.2,-2.15"
"ORD-2025-10158,01-27-2025,west,FURNITURE,Chairs,Filing Cabinet 3-Drawer,1206.74,4,0.4,-486.9"
"ORD-2025-10238,2025-08-09,West,technology,Accessories,Laser Copier 3000,4036.17,10,0.05,1297.01"
"ORD-2024-10125,11/11/2024,west,Furniture,Bookcases,Executive Leather Chair,4455.52,8,0.0,568.06"
"ORD-2024-10019,02-10-2024,South,TECHNOLOGY,Copiers,Workstation PC Pro,1776.41,7,0.05,551.84"
"ORD-2025-10259,03/10/2025,east,Technology,Accessories,HD Web Camera,8966.94,8,0.05,2913.9"
"ORD-2024-10097,2024-08-20,CENTRAL,Furniture,Tables,Conference Table 8ft,1551.56,4,0.0,198.43"
"ORD-2024-10140,2024-12-13,South ,Office Supplies,Storage,Heavy Duty Binder,127.35,2,0.1,17.15"
"ORD-2024-10133,05/12/2024,east,TECHNOLOGY,Machines,Wireless Headset Pro,3603.66,7,0.2,370.61"
"ORD-2024-10087,05/08/2024,West,Furniture ,Furnishings,Standing Desk Frame,3556.22,7,0.05,235.14"
"ORD-2025-10261,2025-10-07,South ,Office Supplies,Binders,Stapler Executive Pro,709.82,9,0.3,-96.13"
"ORD-2025-10153,01-21-2025,Central ,Furniture ,Furnishings,Standing Desk Frame,1623.76,8,0.5,-931.33"
"ORD-2024-10126,11-13-2024,west,OFFICE SUPPLIES,Storage,Gel Pens 12-Pack,$574.78,9,0.1,69.49"
"ORD-2025-10262,08/10/2025,EAST,OFFICE SUPPLIES,Appliances,File Folders 100-Pack,128.72,4,0.15,5.38"
"ORD-2025-10205,17/05/2025,WEST,TECHNOLOGY,Phones,Wireless Headset Pro,3266.96,4,0.3,-92.15"
"ORD-2024-10093,2024-08-18,central,Technology,Accessories,Dual Screen Monitor,9796.31,10,0.05,2958.9"
"ORD-2025-10295,2025-12-25,West ,Technology,Phones,Mechanical Keyboard,2332.77,3,0.0,844.52"
"ORD-2025-10176,2025-03-14,south,Office Supplies ,Binders,Desktop Organizer Box,$12.74,1,0.15,0.86"
"ORD-2025-10194,19/04/2025,WEST,Office Supplies,Appliances,Whiteboard Markers 8-Pack,26.14,2,0.5,-10.88"
"ORD-2025-10219,2025-07-04,Central,furniture,Bookcases,Standing Desk Frame,1237.25,3,0.1,-38.22"
"ORD-2025-10293,12-11-2025,West ,OFFICE SUPPLIES,Appliances,Desktop Organizer Box,266.3,6,0.2,-0.26"
"ORD-2024-10130,12-03-2024,central,TECHNOLOGY,Copiers,Mechanical Keyboard,708.64,4,0.0,283.44"
"ORD-2024-10039,04-13-2024,South,OFFICE SUPPLIES,Storage,Gel Pens 12-Pack,582.8,10,0.5,-257.92"
"ORD-2025-10247,2025-09-06,West ,Office Supplies ,Pens & Art,Stapler Executive Pro,,2,0.2,-2.23"
"ORD-2025-10178,03-28-2025,East ,Furniture,Bookcases,Filing Cabinet 3-Drawer,809.38,3,0.3,-225.66"
"ORD-2025-10144,2025-01-07,East ,Office Supplies ,Paper,Copy Paper 500 Sheets,226.18,7,0.2,-0.59"
"ORD-2024-10113,27/09/2024,south,Furniture,Furnishings,Executive Leather Chair,""$3,494.37"",9,0.15,-221.12"
"ORD-2025-10177,17/03/2025,East,Office Supplies ,Binders,Copy Paper 500 Sheets,$306.35,9,0.05,54.54"
"ORD-2024-10118,15/10/2024,CENTRAL,Technology,Machines,Wireless Headset Pro,4255.52,7,0.4,-753.38"
"ORD-2025-10286,29/11/2025,West ,Office Supplies ,Appliances,Office Microwave,579.69,5,0.1,69.8"
"ORD-2025-10280,11-14-2025,West ,Office Supplies,Binders,Stapler Executive Pro,319.25,6,0.4,-88.7"
"ORD-2025-10246,09-04-2025,WEST,furniture,Chairs,Desk Lamp LED,3785.16,6,0.0,441.33"
"ORD-2025-10186,2025-04-06,East ,furniture,Tables,Conference Table 8ft,402.56,1,0.05,13.32"
"ORD-2025-10234,07-27-2025,SOUTH,OFFICE SUPPLIES,Appliances,Copy Paper 500 Sheets,283.71,7,0.5,-122.14"
"ORD-2024-10003,02/01/2024,South ,furniture,Tables,Ergonomic Mesh Chair,2342.65,9,0.3,-693.85"
"ORD-2024-10116,10-06-2024,central,Office Supplies,Paper,File Folders 100-Pack,$18.09,1,0.15,0.84"
"ORD-2025-10195,04-20-2025,West ,office supplies,Paper,Whiteboard Markers 8-Pack,208.85,4,0.3,-33.72"
"ORD-2025-10187,2025-04-08,west,Technology,Accessories,Workstation PC Pro,1041.05,5,0.0,380.06"
"ORD-2024-10121,24/10/2024,WEST,OFFICE SUPPLIES,Pens & Art,File Folders 100-Pack,$480.97,5,0.3,-78.29"
"ORD-2025-10223,07-10-2025,South ,OFFICE SUPPLIES,Storage,Office Microwave,225.18,6,0.5,-99.54"
"ORD-2025-10268,10-21-2025,CENTRAL,Furniture,Bookcases,Lounge Sofa Seat,428.48,6,0.3,-125.98"
"ORD-2024-10128,2024-11-26,West ,Technology,Copiers,HD Web Camera,""$1,227.48"",5,0.3,-8.95"
"ORD-2024-10075,07-08-2024,central,office supplies,Appliances,Gel Pens 12-Pack,373.88,7,0.4,-109.93"
"ORD-2024-10030,26/03/2024,south,technology,Accessories,Laser Copier 3000,5457.12,10,0.4,-929.24"
"ORD-2024-10084,2024-07-26,EAST,Office Supplies,Binders,Gel Pens 12-Pack,711.34,7,0.0,187.99"
"ORD-2025-10257,01/10/2025,West,Office Supplies,Storage,Office Microwave,691.56,6,0.0,168.6"
"ORD-2024-10108,2024-09-15,south,FURNITURE,Furnishings,Lounge Sofa Seat,836.96,2,0.15,-78.37"
"ORD-2025-10291,10/12/2025,west,OFFICE SUPPLIES,Storage,File Folders 100-Pack,$274.71,7,0.15,12.54"
"ORD-2025-10166,2025-02-10,West ,Furniture,Bookcases,Wooden Bookcase 5-Shelf,432.11,1,0.15,-30.66"
"ORD-2024-10134,12-05-2024,Central,Office Supplies,Binders,Desktop Organizer Box,314.7,8,0.15,16.99"
"ORD-2025-10283,2025-11-21,WEST,Technology,Copiers,Laser Copier 3000,11455.46,9,0.05,3702.53"
"ORD-2025-10229,07-18-2025,west,office supplies,Appliances,Desktop Organizer Box,218.89,5,0.3,-34.73"
"ORD-2024-10066,08/06/2024,East ,furniture,Tables,Executive Leather Chair,721.56,7,0.0,87.16"
"ORD-2025-10210,05-24-2025,South,Furniture ,Bookcases,Ergonomic Mesh Chair,""$1,946.70"",10,0.0,195.27"
"ORD-2024-10086,04/08/2024,South ,OFFICE SUPPLIES,Pens & Art,Gel Pens 12-Pack,$222.98,5,0.3,-34.69"
"ORD-2025-10226,07-16-2025,west,OFFICE SUPPLIES,Appliances,Gel Pens 12-Pack,226.84,8,0.5,-99.57"
"ORD-2025-10160,2025-02-04,WEST,FURNITURE,Chairs,Lounge Sofa Seat,5863.5,9,0.05,"
"ORD-2024-10013,2024-01-28,EAST,FURNITURE,Bookcases,Filing Cabinet 3-Drawer,$701.54,4,0.2,-113.3"
"ORD-2024-10036,08/04/2024,west,Technology,Accessories,Laser Copier 3000,5190.62,8,0.1,1347.41"
"ORD-2024-10029,03-21-2024,west,TECHNOLOGY,Phones,Workstation PC Pro,$953.70,4,0.15,175.73"
"ORD-2025-10171,2025-02-22,CENTRAL,Furniture,Tables,Filing Cabinet 3-Drawer,4197.46,9,0.2,-698.41"
"ORD-2025-10143,2025-01-01,CENTRAL,OFFICE SUPPLIES,Appliances,Desktop Organizer Box,260.95,10,0.5,-108.33"
"ORD-2025-10255,2025-09-29,west,technology,Accessories,Wireless Headset Pro,5247.42,6,0.0,2089.19"
"ORD-2024-10132,03/12/2024,west,Furniture,Furnishings,Executive Leather Chair,""$1,525.79"",10,0.3,-426.62"
"ORD-2025-10181,2025-03-31,Central,Office Supplies,Storage,Stapler Executive Pro,74.97,5,0.1,10.03"
"ORD-2024-10052,10/05/2024,West ,furniture,Furnishings,Executive Leather Chair,$733.36,6,0.05,42.52"
"ORD-2024-10096,2024-08-20,SOUTH,Office Supplies,Binders,Heavy Duty Binder,$785.26,10,0.3,-124.96"
"ORD-2025-10220,07-07-2025,South,furniture,Bookcases,Desk Lamp LED,510.66,3,,54.68"
"ORD-2025-10179,2025-03-30,East,Technology,Machines,Business Router Max,""$5,680.05"",5,0.0,2201.65"
"ORD-2025-10233,2025-07-25,south,Office Supplies ,Binders,Office Microwave,$407.44,6,0.05,77.13"
"ORD-2024-10042,2024-04-21,West ,FURNITURE,Chairs,Desk Lamp LED,""$3,262.05"",10,0.1,-38.63"
"ORD-2024-10090,12/08/2024,SOUTH,Furniture ,Bookcases,Desk Lamp LED,1329.05,6,0.3,-390.57"
"ORD-2025-10230,2025-07-19,East,FURNITURE,Bookcases,Ergonomic Mesh Chair,2942.4,6,0.0,333.04"
"ORD-2024-10137,2024-12-11,SOUTH,Office Supplies,Paper,Stapler Executive Pro,376.75,8,0.4,-105.34"
"ORD-2024-10027,2024-03-12,EAST,OFFICE SUPPLIES,Pens & Art,Copy Paper 500 Sheets,59.63,2,0.2,"
"ORD-2024-10137,2024-12-11,SOUTH,Office Supplies,Paper,Stapler Executive Pro,376.75,8,0.4,-105.34"
"ORD-2024-10142,12-24-2024,EAST,Office Supplies ,Storage,Office Microwave,267.36,8,0.4,-80.28"
"ORD-2025-10212,25/05/2025,WEST,Office Supplies ,Binders,File Folders 100-Pack,328.35,3,0.05,58.35"
"ORD-2024-10001,02/01/2024,east,furniture,Chairs,Ergonomic Mesh Chair,1676.2,4,0.1,-49.31"
"ORD-2025-10292,12-10-2025,west,furniture,Chairs,Wooden Bookcase 5-Shelf,""$1,851.55"",8,0.4,-799.57"
"ORD-2025-10281,14/11/2025,WEST,Furniture ,Tables,Conference Table 8ft,599.51,7,0.4,-251.18"
"ORD-2024-10101,08-30-2024,Central,technology,Machines,Laser Copier 3000,""$2,301.22"",5,0.5,-653.58"
"ORD-2025-10193,17/04/2025,East,office supplies,Appliances,Stapler Executive Pro,259.5,10,0.5,-112.42"
"ORD-2025-10266,16/10/2025,South ,Office Supplies,Paper,Office Microwave,72.53,2,0.2,-0.98"
"ORD-2024-10104,2024-09-08,west,office supplies,Appliances,Whiteboard Markers 8-Pack,$376.00,8,0.2,-12.31"
"ORD-2025-10172,2025-02-23,West,office supplies,Pens & Art,Heavy Duty Binder,58.63,2,0.4,-17.31"
"ORD-2024-10099,2024-08-28,west,Technology,Machines,Workstation PC Pro,1668.06,6,0.0,657.19"
"ORD-2024-10037,2024-04-09,East,Technology ,Phones,Laser Copier 3000,""$3,260.12"",7,0.15,634.29"
"ORD-2024-10062,31/05/2024,WEST,furniture,Chairs,Executive Leather Chair,2067.91,9,0.3,-574.51"
"ORD-2025-10151,2025-01-20,EAST,OFFICE SUPPLIES,Pens & Art,Heavy Duty Binder,594.98,7,0.05,98.47"
",,,,,,,,,"
"ORD-2025-10250,09-16-2025,Central,Furniture ,Chairs,Conference Table 8ft,341.54,4,0.05,18.6"
"ORD-2025-10214,05-25-2025,south,Office Supplies,Binders,Stapler Executive Pro,513.31,10,0.3,-75.26"
"ORD-2025-10256,2025-10-01,east,Office Supplies,Appliances,Heavy Duty Binder,423.6,8,0.0,108.2"
"ORD-2024-10012,2024-01-28,east,Office Supplies ,Storage,Gel Pens 12-Pack,76.78,1,0.1,9.82"
"ORD-2024-10140,2024-12-13,South ,Office Supplies,Storage,Heavy Duty Binder,127.35,2,0.1,17.15"
"ORD-2025-10201,2025-05-06,south,technology,Machines,Dual Screen Monitor,3118.92,6,0.5,-936.6"
"ORD-2025-10276,2025-11-07,central,Technology,Copiers,HD Web Camera,1080.57,3,0.0,408.54"
"ORD-2024-10028,21/03/2024,Central ,Technology ,Accessories,Dual Screen Monitor,141.8,1,0.1,32.29"
"ORD-2025-10232,2025-07-20,east,Office Supplies ,Appliances,Desktop Organizer Box,387.94,5,0.3,-65.89"
"ORD-2024-10005,2024-01-09,WEST,TECHNOLOGY,Copiers,Mechanical Keyboard,2349.42,6,0.0,854.51"
"ORD-2024-10123,04/11/2024,West ,office supplies,Binders,Desktop Organizer Box,409.32,9,0.0,96.71"
"ORD-2024-10033,2024-04-05,South ,Furniture,Bookcases,Conference Table 8ft,$418.60,4,0.5,-233.18"
"ORD-2025-10221,2025-07-09,CENTRAL,technology,Machines,HD Web Camera,5653.02,10,0.4,-863.53"
"ORD-2025-10163,02-06-2025,East ,Technology,Copiers,Mechanical Keyboard,5961.65,5,0.0,2379.4"
"ORD-2025-10222,09/07/2025,SOUTH,TECHNOLOGY,Copiers,Workstation PC Pro,$370.21,2,0.4,-60.09"
"ORD-2025-10267,20/10/2025,West ,Office Supplies,Storage,File Folders 100-Pack,634.14,7,0.05,120.54"
"ORD-2024-10139,11/12/2024,WEST,OFFICE SUPPLIES,Pens & Art,Copy Paper 500 Sheets,148.23,10,0.1,18.29"
"ORD-2024-10063,2024-06-01,EAST,Technology,Copiers,Smartphone X1,""$1,287.77"",5,0.05,406.58"
"ORD-2025-10216,2025-06-08,West ,furniture,Furnishings,Standing Desk Frame,283.1,2,0.1,-4.97"
"ORD-2024-10136,12-09-2024,SOUTH,Technology,Machines,Smartphone X1,4538.92,9,0.4,-741.98"
"ORD-2024-10129,2024-11-26,WEST,office supplies,Appliances,File Folders 100-Pack,726.9,10,0.0,193.05"
"ORD-2025-10300,12-30-2025,east,technology,Machines,Mechanical Keyboard,998.94,2,0.3,-39.6"
"ORD-2024-10009,2024-01-21,Central,Furniture ,Bookcases,Conference Table 8ft,734.68,2,0.3,-215.91"
"ORD-2024-10071,07-02-2024,south,Technology,Machines,Workstation PC Pro,""$4,595.33"",8,0.1,1127.91"
"ORD-2025-10273,2025-11-02,south,Office Supplies ,Binders,Desktop Organizer Box,382.14,7,0.2,-5.36"
"ORD-2024-10065,08/06/2024,West,Office Supplies ,Storage,Whiteboard Markers 8-Pack,$862.65,9,0.0,211.7"
"ORD-2024-10045,22/04/2024,west,Furniture ,Tables,Executive Leather Chair,794.4,2,0.0,94.0"
"ORD-2025-10249,09-15-2025,Central ,office supplies,Storage,File Folders 100-Pack,155.83,3,0.4,-45.51"
